Persons,Encodings
1,"[-0.16257693  0.15204234  0.11533026  0.06599751 -0.09280115  0.0673913
 -0.0889241   0.01891226  0.09959929 -0.08418882  0.21170583 -0.00121151
 -0.22112381 -0.01205435  0.01120786  0.1141988  -0.06263904 -0.11119233
 -0.07495292 -0.06119636  0.04996375  0.11038572  0.0339285   0.06796296
 -0.15612844 -0.38774005 -0.03304895 -0.18670307  0.02610298 -0.24377382
 -0.10570959 -0.03689738 -0.16721274 -0.07532437  0.07204305  0.05618127
 -0.00839516 -0.08136805  0.17012596  0.03602419 -0.13284875  0.03882304
  0.0745452   0.35952732  0.10460924  0.07711611 -0.0215663  -0.06236103
  0.19023408 -0.18941057  0.11099101  0.10184038  0.1347591   0.0924087
  0.11063601 -0.14946246  0.08828776  0.07792224 -0.2350378   0.14997253
  0.06878646  0.00379093  0.0287209  -0.01525476  0.20209853  0.04458437
 -0.06498017 -0.13817492  0.07923286 -0.12216535  0.00753967  0.11360324
 -0.13865569 -0.20670561 -0.18640137  0.06806731  0.39216548  0.21534351
 -0.20380279 -0.02697629 -0.07026386 -0.07892388  0.04735654  0.07330656
 -0.05230573 -0.05164576 -0.06196844  0.06570632  0.24895738  0.06781062
 -0.0358744   0.22286916  0.03711264 -0.03032303  0.03847002 -0.01154328
 -0.20483138 -0.04943523 -0.13861218 -0.07006317 -0.10449622 -0.08174534
 -0.04171971  0.1118756  -0.25529134  0.12396147 -0.00110924 -0.05250664
 -0.02701189  0.09991035 -0.19030562 -0.0416614   0.10639544 -0.26510027
  0.18514855  0.18176791  0.17142636  0.11724509  0.05026563  0.008002
  0.05602341  0.00136611 -0.15510792 -0.11008207  0.10359916 -0.04878744
  0.03343971 -0.01313496]"
11,"[-8.54140148e-02  5.21912798e-02  3.24682482e-02 -8.11215565e-02
 -1.46958321e-01 -7.04358146e-02 -7.32499808e-02 -7.82479942e-02
  1.54963613e-01 -1.75301448e-01  1.45385489e-01 -8.47579315e-02
 -1.54614478e-01 -1.54242394e-02 -5.25447391e-02  2.02714741e-01
 -2.31891662e-01 -1.38504982e-01 -5.61707132e-02 -4.00573649e-02
  2.84147821e-02  2.27383617e-03  4.10068408e-03  2.56969482e-02
 -1.14895649e-01 -3.84423196e-01 -1.04668893e-01 -9.28995162e-02
 -5.14479876e-02 -5.69506437e-02 -3.28860022e-02  1.29122436e-01
 -1.81727335e-01 -2.68556643e-02  1.15490621e-02  8.61797780e-02
  7.43254088e-03 -4.90335785e-02  1.53134868e-01 -3.48157436e-02
 -2.56073475e-01  2.85107978e-02  1.06715888e-01  2.61865377e-01
  1.66541070e-01 -2.94240676e-02  4.43606637e-03 -5.92384338e-02
  1.28419176e-01 -1.27665862e-01  9.13903024e-03  9.91360992e-02
  3.72929983e-02  3.58690694e-02  8.06788802e-02 -5.39925694e-02
  4.66592461e-02  1.47886485e-01 -1.34493276e-01  1.34694027e-02
  1.27826422e-01 -1.10737003e-01 -2.22161096e-02 -1.11093603e-01
  2.50790238e-01  8.09179619e-02 -8.82071927e-02 -1.58767015e-01
  1.26805663e-01 -1.28790140e-01 -4.67522368e-02  2.34112851e-02
 -1.51596293e-01 -1.72647312e-01 -2.71338731e-01 -3.57604027e-03
  3.66263181e-01  1.34025037e-01 -1.34109199e-01  9.00443643e-02
  1.63216460e-02 -5.83137423e-02  1.61063686e-01  1.89481467e-01
 -2.21431255e-04  8.38318020e-02 -5.50223701e-02  9.55737308e-02
  2.24792540e-01 -2.89593861e-02 -2.26954985e-02  1.78699315e-01
 -3.41726877e-02  1.40422666e-02  3.32786562e-03 -5.44799343e-02
 -8.13705623e-02  1.73301436e-02 -1.85123101e-01  3.32263634e-02
  4.54649329e-03 -4.87807356e-02 -7.54183754e-02  8.15286338e-02
 -7.51151368e-02  5.03481403e-02 -1.05595030e-02  1.73789188e-02
 -6.95365071e-02  1.86983645e-02 -8.59189928e-02 -5.81321456e-02
  1.07866161e-01 -1.94961026e-01  1.50092274e-01  1.30882412e-01
  3.90088446e-02  1.21094123e-01  7.24174753e-02  5.02958372e-02
 -4.32961993e-03 -2.96865515e-02 -2.16042206e-01  1.29743805e-03
  1.42998353e-01 -1.75888333e-02  1.28407538e-01  6.79288758e-03]"
12,"[-0.17884901  0.01749727  0.01558796 -0.05478096 -0.03565383 -0.11381672
  0.07216588 -0.07211173  0.23652068 -0.04611285  0.18289979 -0.02164102
 -0.13377485 -0.11306379  0.00280314  0.07771457 -0.1570043  -0.16181307
  0.02682809 -0.13320547  0.02859404 -0.01501523 -0.01235573  0.05992846
 -0.1640535  -0.34675899 -0.11384049 -0.16565713  0.1085086  -0.08144519
  0.08110261  0.06921569 -0.1940559  -0.08661774  0.02078819  0.06774589
  0.10342965  0.00313853  0.23139177 -0.03078615 -0.11614909 -0.02913533
  0.08831242  0.29308134  0.05013563  0.06548697  0.03018065 -0.00189231
  0.15057965 -0.1964367   0.13096547  0.09772441  0.03918798  0.01399663
  0.06729325 -0.18296698 -0.00067809  0.07103725 -0.27872008  0.14533922
  0.05994922  0.01060203 -0.10756394  0.02759777  0.21224879  0.12924272
 -0.11170196 -0.12234417  0.19341108 -0.16985874  0.0180467  -0.01044227
 -0.11163172 -0.12265518 -0.28057122  0.1201284   0.39183006  0.09193417
 -0.10119255  0.09993791 -0.07445191 -0.01161607  0.03740418  0.05340309
 -0.10904643  0.05286061 -0.07998956  0.07036263  0.10683523  0.11072431
 -0.04637589  0.1700619  -0.04166131  0.06490749 -0.00328715  0.09098017
 -0.14083104 -0.02399865 -0.09536016  0.00886491  0.14012887 -0.00954164
  0.03386935  0.16416413 -0.2141133   0.15925349 -0.01850494 -0.02696211
 -0.060523    0.11181942 -0.04492154 -0.02201933  0.068601   -0.21008095
  0.23967555  0.13921978 -0.00210555  0.18369718  0.0196717  -0.01448657
  0.06474943  0.0036967  -0.14701134 -0.07058658 -0.02358952 -0.05604611
  0.0433434   0.08930616]"
13,"[-1.08053491e-01  1.81262940e-02  6.39621243e-02  2.52426062e-02
 -2.62418352e-02 -1.32473201e-01 -5.42754345e-02 -1.06078684e-01
  9.23202112e-02 -3.76449302e-02  1.60158753e-01 -7.88358375e-02
 -2.08926946e-01 -9.56492424e-02  6.36884011e-03  5.51413000e-02
 -1.19697556e-01 -1.73135743e-01  7.40885735e-05 -1.07866041e-01
  3.89630049e-02  1.91912968e-02  7.23685771e-02  3.06233056e-02
 -1.29068598e-01 -4.00782585e-01 -1.64114460e-01 -1.13419592e-01
  8.56519639e-02 -6.61159232e-02 -5.87491617e-02  3.53728831e-02
 -2.07461074e-01 -6.03426471e-02  6.79877251e-02  8.51134285e-02
  4.26438265e-03 -2.77539194e-02  1.96554959e-01  7.40722753e-04
 -1.44884929e-01 -8.71514827e-02  1.11104555e-01  2.79358476e-01
  1.30711675e-01  9.32989120e-02  1.12769511e-02  1.63517594e-02
  4.16850932e-02 -1.74120322e-01  1.68750614e-01  1.64700702e-01
  1.34875253e-01  4.15053368e-02  1.08380139e-01 -1.15382999e-01
  1.87819842e-02  7.72121400e-02 -1.98509544e-01  1.40863091e-01
  7.89310783e-02 -7.17635453e-02 -3.38147879e-02  5.57151660e-02
  1.95491090e-01  1.09056830e-01 -6.39757961e-02 -1.14971519e-01
  1.33185357e-01 -2.25265205e-01 -3.62800714e-03  4.85531688e-02
 -7.63723776e-02 -1.62592396e-01 -2.70694315e-01 -1.51848234e-03
  3.95119876e-01  8.96634609e-02 -1.40473053e-01  8.61372352e-02
 -3.15452926e-02 -6.19147643e-02  1.43461943e-01  4.63033207e-02
 -1.17786996e-01  9.04675573e-02 -1.63386717e-01  6.29845262e-02
  1.93379149e-01  1.02865947e-02 -5.35015911e-02  1.68405160e-01
 -4.63956147e-02  6.42466396e-02  1.06116474e-01  5.75128123e-02
 -6.58875778e-02 -5.05537763e-02 -1.16598994e-01 -1.57587975e-02
  6.57003522e-02 -8.03041905e-02 -4.26102690e-02  5.79287149e-02
 -1.45676747e-01  4.47342470e-02  4.17038947e-02 -5.17955944e-02
 -5.88092320e-02  2.38774046e-02 -1.35064006e-01 -1.00953467e-01
  8.28693062e-02 -2.79393971e-01  1.62685856e-01  1.63045675e-01
 -1.87447369e-02  1.62101880e-01  1.53125422e-02  2.04026848e-02
  4.93952371e-02 -9.99170691e-02 -8.58480856e-02 -7.65490457e-02
  9.92523506e-04  2.17519775e-02  5.10101020e-02  4.91130054e-02]"
14,"[-0.12487102  0.01986664  0.02934923 -0.09548421 -0.072804   -0.09372354
 -0.09845418 -0.11580528  0.17544937 -0.1530983   0.19774061 -0.02932286
 -0.21088257 -0.10823332 -0.01456672  0.16649716 -0.2092319  -0.10784812
  0.01238213  0.05529791  0.12446219 -0.03553733  0.05964131  0.11578152
 -0.17231096 -0.4481377  -0.15570201 -0.07079372 -0.05764369 -0.0260991
 -0.02451018  0.07141592 -0.18773188 -0.02368337 -0.0120071   0.11659859
  0.04390582 -0.0660232   0.1410016   0.02727272 -0.32101819 -0.00767564
  0.00113773  0.22240238  0.14056526  0.01947212  0.05562619 -0.12383404
  0.13364986 -0.17423056  0.00973893  0.14253499  0.00928696 -0.01439656
  0.03293634 -0.05725751  0.05666788  0.07104089 -0.19178873 -0.04395423
  0.0725953  -0.09217668 -0.01467898 -0.11607048  0.15736197  0.10594072
 -0.10793849 -0.18371183  0.13689321 -0.19538237 -0.03893501  0.08863364
 -0.13556993 -0.21207905 -0.32414758 -0.05604962  0.36493143  0.1469401
 -0.15923579  0.07094911 -0.1269915  -0.02594427  0.12395529  0.16175383
  0.07340629  0.10302033 -0.10097397  0.03393001  0.22514157 -0.06064058
  0.02839374  0.26327613  0.02844833  0.0946382   0.03115611  0.03581642
 -0.11660309  0.04679685 -0.11802971  0.03444374  0.02804682  0.01035731
  0.00518335  0.063409   -0.16776562  0.14568061  0.0292916  -0.00962882
  0.05479153  0.03526598 -0.12732308 -0.1498099   0.08789072 -0.24273387
  0.12981632  0.18555225  0.05859013  0.13262397  0.06479101  0.09841651
 -0.0793385  -0.07181548 -0.19376843 -0.00389027  0.08527974 -0.03699919
  0.05066372 -0.05031032]"
15,"[-8.54140148e-02  5.21912798e-02  3.24682482e-02 -8.11215565e-02
 -1.46958321e-01 -7.04358146e-02 -7.32499808e-02 -7.82479942e-02
  1.54963613e-01 -1.75301448e-01  1.45385489e-01 -8.47579315e-02
 -1.54614478e-01 -1.54242394e-02 -5.25447391e-02  2.02714741e-01
 -2.31891662e-01 -1.38504982e-01 -5.61707132e-02 -4.00573649e-02
  2.84147821e-02  2.27383617e-03  4.10068408e-03  2.56969482e-02
 -1.14895649e-01 -3.84423196e-01 -1.04668893e-01 -9.28995162e-02
 -5.14479876e-02 -5.69506437e-02 -3.28860022e-02  1.29122436e-01
 -1.81727335e-01 -2.68556643e-02  1.15490621e-02  8.61797780e-02
  7.43254088e-03 -4.90335785e-02  1.53134868e-01 -3.48157436e-02
 -2.56073475e-01  2.85107978e-02  1.06715888e-01  2.61865377e-01
  1.66541070e-01 -2.94240676e-02  4.43606637e-03 -5.92384338e-02
  1.28419176e-01 -1.27665862e-01  9.13903024e-03  9.91360992e-02
  3.72929983e-02  3.58690694e-02  8.06788802e-02 -5.39925694e-02
  4.66592461e-02  1.47886485e-01 -1.34493276e-01  1.34694027e-02
  1.27826422e-01 -1.10737003e-01 -2.22161096e-02 -1.11093603e-01
  2.50790238e-01  8.09179619e-02 -8.82071927e-02 -1.58767015e-01
  1.26805663e-01 -1.28790140e-01 -4.67522368e-02  2.34112851e-02
 -1.51596293e-01 -1.72647312e-01 -2.71338731e-01 -3.57604027e-03
  3.66263181e-01  1.34025037e-01 -1.34109199e-01  9.00443643e-02
  1.63216460e-02 -5.83137423e-02  1.61063686e-01  1.89481467e-01
 -2.21431255e-04  8.38318020e-02 -5.50223701e-02  9.55737308e-02
  2.24792540e-01 -2.89593861e-02 -2.26954985e-02  1.78699315e-01
 -3.41726877e-02  1.40422666e-02  3.32786562e-03 -5.44799343e-02
 -8.13705623e-02  1.73301436e-02 -1.85123101e-01  3.32263634e-02
  4.54649329e-03 -4.87807356e-02 -7.54183754e-02  8.15286338e-02
 -7.51151368e-02  5.03481403e-02 -1.05595030e-02  1.73789188e-02
 -6.95365071e-02  1.86983645e-02 -8.59189928e-02 -5.81321456e-02
  1.07866161e-01 -1.94961026e-01  1.50092274e-01  1.30882412e-01
  3.90088446e-02  1.21094123e-01  7.24174753e-02  5.02958372e-02
 -4.32961993e-03 -2.96865515e-02 -2.16042206e-01  1.29743805e-03
  1.42998353e-01 -1.75888333e-02  1.28407538e-01  6.79288758e-03]"
7,"[-0.00844898  0.09821971 -0.04757518 -0.08994652 -0.06687697  0.00862029
 -0.05340272 -0.1139253   0.09774233 -0.13488282  0.23257577 -0.01598089
 -0.15740228 -0.09610384 -0.03086903  0.11594591 -0.15370518 -0.12459333
 -0.09768219 -0.00659311  0.0263176   0.07682156 -0.01476065  0.06417894
 -0.11689359 -0.24744532 -0.05496561 -0.0806464   0.04592943 -0.05027514
 -0.07249104  0.01648298 -0.15855248 -0.06664518  0.08718379  0.05100869
 -0.01412321 -0.01329622  0.20605764  0.06420938 -0.20328835  0.10572819
  0.02639269  0.30985555  0.24239169  0.04074286 -0.05433831 -0.12712935
  0.17974374 -0.20865247  0.08448869  0.10434099  0.13323316  0.07058708
  0.02887649 -0.16896978  0.01754953  0.09804501 -0.10754922 -0.02013301
  0.00926442 -0.05622239  0.00086491 -0.10861171  0.21633106  0.03064943
 -0.13792412 -0.17663495  0.08252776 -0.13561474 -0.14318463  0.04953435
 -0.12815991 -0.10548741 -0.32119077  0.04736041  0.36831799  0.20114243
 -0.27305552  0.0506965  -0.03276321  0.00612962  0.14083666  0.13292094
 -0.01812397 -0.01038103 -0.03859533 -0.04581968  0.18535262 -0.0437111
 -0.1103862   0.19651294 -0.0272482   0.13582069  0.0545924  -0.01185408
 -0.11534431  0.01980651 -0.13913949 -0.03082164  0.03848581  0.00987862
  0.02588077  0.20492262 -0.17738029  0.22669694 -0.02082943  0.04437404
  0.06339753  0.05454604 -0.05391312 -0.02765897  0.10319467 -0.2404808
  0.22702767  0.13917626  0.08148365  0.10861403  0.16670018  0.0153053
 -0.00975159  0.07807128 -0.24862002 -0.08780898  0.10472    -0.04476272
  0.13779621  0.00319153]"
11,"[-0.12181908  0.06142456  0.06172026 -0.02412481 -0.03609817 -0.11431911
 -0.02531035 -0.1858093   0.16355605 -0.02392656  0.20754996 -0.07531608
 -0.13904557 -0.17412253 -0.02412158  0.15687433 -0.09625147 -0.12721467
 -0.04191705 -0.0108813   0.06097563 -0.06737051  0.08940323  0.05467152
 -0.12875104 -0.3662681  -0.10469687 -0.09062751 -0.00654843 -0.04003471
 -0.06310139  0.11205229 -0.19884537 -0.09573526 -0.01081416  0.08580951
  0.01246462 -0.04985504  0.1602211  -0.02202898 -0.26012567 -0.04050752
  0.07428804  0.23136163  0.20405425  0.03170063  0.05138931 -0.0922102
  0.06594117 -0.15569091  0.07735653  0.09440444  0.05611888  0.0041746
  0.05390534 -0.08744052  0.03542364  0.04048966 -0.16988382  0.03685798
  0.10936492 -0.06930149 -0.08318413 -0.03533142  0.22499076  0.15370478
 -0.11272561 -0.11015272  0.09672575 -0.13460755 -0.04302112  0.05394372
 -0.14315724 -0.2002926  -0.38295743  0.0298677   0.42755604  0.10072155
 -0.23161265  0.01463118 -0.06032686  0.02507131  0.18337196  0.15890053
 -0.03844069  0.06257868 -0.13253632 -0.00356626  0.172179   -0.0274526
 -0.08928894  0.20701179 -0.01277837  0.04672264 -0.01009179  0.10578714
 -0.0560732   0.05394316 -0.14579645 -0.0254761   0.15350449  0.03777072
  0.00471812  0.12079129 -0.1314355   0.07489812  0.0391985   0.0327056
  0.04579589 -0.01865027 -0.08461297 -0.10965099  0.05235242 -0.19435059
  0.13848206  0.15202519  0.01917664  0.10651525  0.10236494  0.07823779
  0.03286992 -0.01714794 -0.10754109  0.00975427  0.09427694  0.00593961
  0.09339694  0.03510959]"
12,"[-0.12487102  0.01986664  0.02934923 -0.09548421 -0.072804   -0.09372354
 -0.09845418 -0.11580528  0.17544937 -0.1530983   0.19774061 -0.02932286
 -0.21088257 -0.10823332 -0.01456672  0.16649716 -0.2092319  -0.10784812
  0.01238213  0.05529791  0.12446219 -0.03553733  0.05964131  0.11578152
 -0.17231096 -0.4481377  -0.15570201 -0.07079372 -0.05764369 -0.0260991
 -0.02451018  0.07141592 -0.18773188 -0.02368337 -0.0120071   0.11659859
  0.04390582 -0.0660232   0.1410016   0.02727272 -0.32101819 -0.00767564
  0.00113773  0.22240238  0.14056526  0.01947212  0.05562619 -0.12383404
  0.13364986 -0.17423056  0.00973893  0.14253499  0.00928696 -0.01439656
  0.03293634 -0.05725751  0.05666788  0.07104089 -0.19178873 -0.04395423
  0.0725953  -0.09217668 -0.01467898 -0.11607048  0.15736197  0.10594072
 -0.10793849 -0.18371183  0.13689321 -0.19538237 -0.03893501  0.08863364
 -0.13556993 -0.21207905 -0.32414758 -0.05604962  0.36493143  0.1469401
 -0.15923579  0.07094911 -0.1269915  -0.02594427  0.12395529  0.16175383
  0.07340629  0.10302033 -0.10097397  0.03393001  0.22514157 -0.06064058
  0.02839374  0.26327613  0.02844833  0.0946382   0.03115611  0.03581642
 -0.11660309  0.04679685 -0.11802971  0.03444374  0.02804682  0.01035731
  0.00518335  0.063409   -0.16776562  0.14568061  0.0292916  -0.00962882
  0.05479153  0.03526598 -0.12732308 -0.1498099   0.08789072 -0.24273387
  0.12981632  0.18555225  0.05859013  0.13262397  0.06479101  0.09841651
 -0.0793385  -0.07181548 -0.19376843 -0.00389027  0.08527974 -0.03699919
  0.05066372 -0.05031032]"
11,"[-0.12254387  0.0130263   0.02625705 -0.08862296 -0.07698945 -0.09636433
 -0.09486254 -0.11521296  0.17084697 -0.1472767   0.19900288 -0.03418681
 -0.209098   -0.10393453 -0.01479189  0.16545308 -0.20099936 -0.10589206
  0.01238607  0.05532366  0.12475855 -0.04316215  0.06483567  0.11665317
 -0.17002982 -0.44677073 -0.15360622 -0.07465536 -0.05675364 -0.02364123
 -0.02295444  0.06942625 -0.18958339 -0.02651668 -0.00618816  0.11762429
  0.04045396 -0.06457552  0.14492412  0.02359808 -0.32193723 -0.01242026
  0.00462965  0.22201826  0.13076922  0.02703103  0.05569645 -0.12553766
  0.13282186 -0.17454821  0.0155992   0.14113885  0.00807848 -0.01269255
  0.02876663 -0.05222052  0.06687139  0.07217301 -0.19628771 -0.03654912
  0.08467793 -0.09059834 -0.01633027 -0.11796971  0.16575554  0.10520662
 -0.11053729 -0.17787899  0.13218644 -0.19511747 -0.03847283  0.08861869
 -0.13344564 -0.21744695 -0.32378408 -0.05575126  0.36936253  0.15103933
 -0.15790682  0.06522968 -0.12831262 -0.02143518  0.1278055   0.15992853
  0.07409757  0.10465131 -0.10376373  0.03055823  0.22706267 -0.06387272
  0.02961128  0.26530248  0.02818061  0.09456474  0.02770306  0.03957166
 -0.11780757  0.04534536 -0.11979748  0.03311051  0.02868085  0.01005949
  0.00881961  0.05817589 -0.17181373  0.14407878  0.02610357 -0.00909499
  0.05694402  0.03426122 -0.13064241 -0.15259448  0.08608231 -0.24285576
  0.13213018  0.18530826  0.06786679  0.13054448  0.06757242  0.09741926
 -0.07759054 -0.07560177 -0.19539613 -0.00332484  0.08477727 -0.03654453
  0.05068396 -0.04862069]"
